抓取时间,抓取时刻,订单号,安,非,赔,保,农,订单标题,金额(元）,年利率,期限（月）,还款方式,每月还款金额,进度,借款状态,剩余时间,结束时间,总投标数,浏览量,借款id,借入信用等级,借入信用分数,借出信用分数,成功次数,流标次数,身份认证,视频认证,学历认证,手机认证,借款目的,性别,年龄,婚姻状况,文化程度,住宅状况,是否购车,户口所在地,毕业学校,学历,学习形式,网站认证,淘宝网认证,卖家信用等级（皇冠数*10+钻石数*1）,关于我,我想要使用这笔款项做什么,我的还款能力说明
2014/05/12,16:21:45,100030,0,0,0,0,0,全新的概念，体验下。,5000,4,6,等额本息，每月还款,843,0.00,投标已结束,,2007/9/5,0,19,aj-zhou,HR,17,0,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:21:52,100031,0,0,0,0,0,养殖及深加工，特色产业,30000,6,3,等额本息，每月还款,10100,0.17,投标已结束,,2007/8/31,1,17,dgj902038,HR,11,0,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:21:56,100032,0,0,0,0,0,临时资金周转进服装,5000,5,4,等额本息，每月还款,1263,0.00,投标已结束,,2007/8/11,0,5,kaotajie,HR,25,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:22:01,100033,0,0,0,0,0,流动资金短缺借款买车,100000,9,36,等额本息，每月还款,3201,100.00,借款成功,,2007/8/14,8,851,xiang,D,53,20,1,0,0,1,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:22:06,100034,0,0,0,0,0,"临时的资金周转,需要一笔钱",2000,4,18,等额本息，每月还款,287,20.00,投标已结束,,2007/9/1,1,9,pwz,E,48,10,1,0,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:22:17,100036,0,0,0,0,0,"临时资金周转,需要一笔钱",2000,4,18,等额本息，每月还款,115,100.00,借款成功,,2007/7/10,5,509,pwz,E,48,10,1,0,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:22:22,100037,0,0,0,0,0,筹集九月份的专升本学费,5000,8,6,等额本息，每月还款,853,100.00,借款成功,,2007/9/4,15,508,fendy,A,131,11051,8,0,1,1,1,1,,,,,,,,,,,,0,,,,,
2014/05/12,16:22:34,100038,0,0,0,0,0,想买台新的笔记本电脑,13000,10,6,等额本息，每月还款,2230,0.38,投标已结束,,2007/8/19,1,9,agerlet,E,41,144,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:22:38,100039,0,0,0,0,0,公司经营周转资金,10000,10,1,等额本息，每月还款,10083,0.00,投标已结束,,2007/8/20,0,6,hiq,E,29,10,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:22:43,100040,0,0,0,0,0,公司经营周转资金,10000,1,1,等额本息，每月还款,10008,100.00,借款成功,,2007/8/17,1,354,hiq,E,29,10,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:22:46,100041,0,0,0,0,0,购房借款谢谢大家,100000,12,6,等额本息，每月还款,17255,0.05,投标已结束,,2007/8/26,1,10,gjhuang,HR,20,0,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:22:49,100042,0,0,0,0,0,帮助朋友度过难关,12000,8,6,等额本息，每月还款,2047,0.00,投标已结束,,2007/8/24,0,9,awfer1,HR,19,256,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:22:53,100043,0,0,0,0,0,零售网站运营费用借款，有固定工资保障,18000,16,7,等额本息，每月还款,2710,11.39,投标已结束,,2007/8/23,2,18,bjly2008,E,29,10,0,2,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:22:57,100044,0,0,0,0,0,本人做生意急需一笔周转资金,5000,7,10,等额本息，每月还款,516,0.00,投标已结束,,2007/8/29,0,16,feifei,HR,12,0,0,5,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:23:04,100045,0,0,0,0,0,本人搞手机办理商急需一笔资金周转,8000,9,11,等额本息，每月还款,760,0.00,投标已结束,,2007/8/28,0,27,feifei,HR,12,0,0,5,0,0,0,0,,,,,,,,,,,,0,,,,,
2014/05/12,16:23:18,100048,0,0,0,0,0,创建基地获取赔偿,20000,12,12,等额本息，每月还款,1777,0.50,投标已结束,,2007/8/30,1,12,sdz1977,E,34,10,0,1,0,0,0,0,,,,,,,,,,,,0,,,,,
